Nameplate,Technology,Latitude,Longitude,State,Plant_ID,Year
117.0,Hydroelectric,39.542984999999994,-121.49218799999998,CA,437,2018
32.6,Hydroelectric,39.514893,-121.630077,CA,438,2018
45.5,Hydroelectric,37.695994,-120.420152,CA,439,2018
1.2,Hydroelectric,37.6697,-120.4436,CA,440,2018
66.2,Hydroelectric,38.70675,-121.15844299999999,CA,441,2018
77.2,Hydroelectric,40.646934,-122.62697299999999,CA,442,2018
39.0,Hydroelectric,40.611858000000005,-122.446441,CA,443,2018
6.7,Hydroelectric,38.63735,-121.220198,CA,444,2018
142.0,Hydroelectric,40.717455,-122.422274,CA,445,2018
4.2,Hydroelectric,37.098671,-121.04771799999999,CA,446,2018
30.0,Hydroelectric,34.295334000000004,-114.140222,CA,447,2018
53.0,Hydroelectric,37.0692,-121.0772,CA,448,2018
90.0,Hydroelectric,40.628115,-122.467509,CA,450,2018
70.0,Hydroelectric,40.797296,-122.762553,CA,451,2018
157.5,Hydroelectric,39.330833,-121.191666,CA,454,2018
46.7,Hydroelectric,39.238996,-121.27040900000001,CA,455,2018
0.7,Hydroelectric,33.166246,-117.016566,CA,457,2018
2.0,Other,38.2667,-104.6144,CO,460,2018
26.6,Natural Gas,37.4594,-105.8947,CO,464,2018
5.0,Hydroelectric,40.004725,-105.332495,CO,466,2018
150.0,Hydroelectric,39.6551,-105.7088,CO,467,2018
380.8,Natural Gas,39.807275,-104.964548,CO,469,2018
382.5,Coal,38.2081,-104.5747,CO,470,2018
26.6,Natural Gas,39.1364,-108.7347,CO,471,2018
0.6,Hydroelectric,39.6919,-105.6978,CO,472,2018
1.5,Hydroelectric,39.101667,-108.345556,CO,473,2018
0.6,Hydroelectric,38.53419,-106.18200300000001,CO,474,2018
7.2,Hydroelectric,39.57013,-107.226876,CO,476,2018
59.3,Natural Gas,40.0195,-105.20200000000001,CO,477,2018
2.9,Hydroelectric,33.8343,-117.4971,CA,479,2018
2.9,Hydroelectric,33.85895,-117.6106,CA,480,2018
7.9,Hydroelectric,33.8361,-117.1831,CA,481,2018
1.9,Hydroelectric,34.004721999999994,-118.09917,CA,482,2018
3.1,Hydroelectric,33.924929999999996,-117.95517,CA,483,2018
5.9,Hydroelectric,33.3944,-117.1889,CA,484,2018
4.1,Hydroelectric,33.9001,-117.82905,CA,487,2018
4.4,Hydroelectric,37.6508,-120.4706,CA,489,2018
0.5,Other,37.753606,-106.10467,CO,491,2018
75.0,Coal,38.824444,-104.833333,CO,492,2018
17.3,Natural Gas,38.881389,-104.81694399999999,CO,493,2018
2.5,Hydroelectric,38.855556,-104.93305600000001,CO,494,2018
1.0,Hydroelectric,38.841353999999995,-104.973802,CO,495,2018
0.4,Other,38.032717,-102.07365899999999,CO,502,2018
0.9,Other,40.9505,-102.2795,CO,504,2018
7.5,Hydroelectric,43.417871999999996,-108.177545,WY,505,2018
0.7,Other,37.9876,-103.5468,CO,506,2018
0.3,Other,38.0647,-103.2159,CO,507,2018
1.0,Other,38.033327,-102.537915,CO,508,2018
4.5,Wind,38.033327,-102.537915,CO,508,2018
78.0,Other,38.7903,-122.7559,CA,510,2018
1.9,Natural Gas,37.178979,-104.487492,CO,511,2018
1.8,Other,37.178979,-104.487492,CO,511,2018
43.2,Hydroelectric,38.453191,-107.337483,CO,512,2018
15.0,Hydroelectric,40.376771000000005,-105.50966499999998,CO,513,2018
86.6,Hydroelectric,38.451753000000004,-107.539299,CO,514,2018
4.5,Hydroelectric,40.421031,-105.223804,CO,515,2018
13.0,Hydroelectric,39.878805,-106.332725,CO,516,2018
8.1,Hydroelectric,40.34408,-105.53430800000001,CO,517,2018
43.0,Hydroelectric,40.364996000000005,-105.23603200000001,CO,518,2018
38.2,Hydroelectric,40.365056,-105.325074,CO,519,2018
5.6,Hydroelectric,39.193659999999994,-108.04408799999999,CO,520,2018
9.9,Hydroelectric,39.143808,-108.004777,CO,521,2018
190.0,Coal,40.4856,-107.185,CO,525,2018
11.5,Coal,38.2383,-108.5069,CO,527,2018
7.2,Hydroelectric,39.048802,-121.316966,CA,531,2018
7.5,Natural Gas,31.400254999999998,-86.476449,AL,533,2018
10.0,Hydroelectric,38.850283000000005,-120.381883,CA,534,2018
77.0,Natural Gas,38.652731,-121.393336,CA,535,2018
3.6,Hydroelectric,38.2268,-121.0245,CA,537,2018
3.5,Hydroelectric,41.5826,-73.4349,CT,539,2018
21.8,Other,41.2925,-72.7942,CT,540,2018
1.2,Hydroelectric,41.659046000000004,-73.491984,CT,541,2018
25.0,Other,41.0289,-73.5989,CT,542,2018
18.6,Other,41.209796999999995,-73.108976,CT,544,2018
2.7,Other,41.4281,-72.1019,CT,546,2018
292.0,Hydroelectric,42.610683,-72.471643,MA,547,2018
50.7,Other,48.620336,-118.11105900000001,WA,550,2018
7.2,Natural Gas,48.620336,-118.11105900000001,WA,550,2018
2.0,Hydroelectric,41.6651,-72.1221,CT,551,2018
37.2,Hydroelectric,41.44842,-73.295321,CT,552,2018
7.5,Hydroelectric,41.3833,-73.1714,CT,553,2018
0.4,Hydroelectric,41.5725,-72.0458,CT,554,2018
1.0,Hydroelectric,41.555425,-72.041829,CT,557,2018
18.5,Other,41.555425,-72.041829,CT,557,2018
4.0,Hydroelectric,41.915312,-72.693616,CT,559,2018
3.0,Hydroelectric,41.957271999999996,-73.369297,CT,560,2018
21.8,Other,41.798943,-73.11626700000001,CT,561,2018
18.5,Other,41.554944,-72.579075,CT,562,2018
113.6,Natural Gas,41.554944,-72.579075,CT,562,2018
41.8,Other,41.7495,-72.6524,CT,563,2018
464.5,Coal,28.4822,-81.1678,FL,564,2018
129.8,Natural Gas,28.4822,-81.1678,FL,564,2018
21.8,Other,41.776109000000005,-73.120886,CT,565,2018
909.9,Nuclear,41.3107,-72.1677,CT,566,2018
400.0,Coal,41.1706,-73.1844,CT,568,2018
18.6,Other,41.1706,-73.1844,CT,568,2018
3.2,Hydroelectric,41.828814,-74.131877,NY,579,2018
19.0,Other,41.526790000000005,-72.06493499999999,CT,581,2018
1.4,Hydroelectric,41.538955,-72.050936,CT,583,2018
15.0,Hydroelectric,36.8061,-107.6131,NM,584,2018
1.9,Hydroelectric,32.711611,-114.94266599999999,CA,585,2018
2.4,Hydroelectric,32.699451,-115.28245,CA,586,2018
59.5,Other,44.4917,-73.208056,VT,589,2018
26.0,Other,39.7302,-75.5371,DE,591,2018
18.5,Other,39.600408,-75.626811,DE,592,2018
12.5,Other,39.738859999999995,-75.50384,DE,593,2018
75.0,Natural Gas,39.738859999999995,-75.50384,DE,593,2018
18.6,Other,38.5857,-75.2341,DE,594,2018
445.5,Coal,38.5857,-75.2341,DE,594,2018
20.0,Other,39.7283,-75.6289,DE,597,2018
113.6,Natural Gas,39.176221999999996,-75.546628,DE,599,2018
685.0,Coal,39.18,-76.5389,MD,602,2018
129.1,Natural Gas,48.4558,-122.4358,WA,607,2018
265.0,Natural Gas,28.4698,-80.7644,FL,609,2018
188.2,Natural Gas,26.6967,-81.7831,FL,612,2018
62.0,Other,26.6967,-81.7831,FL,612,2018
34.2,Natural Gas,26.0686,-80.1984,FL,613,2018
296.0,Natural Gas,26.0856,-80.1253,FL,617,2018
265.0,Natural Gas,26.7653,-80.0525,FL,619,2018
436.1,Natural Gas,28.8419,-81.3256,FL,620,2018
877.2,Nuclear,25.4356,-80.3308,FL,621,2018
472.0,Natural Gas,25.4356,-80.3308,FL,621,2018
16.8,Hydroelectric,47.699166999999996,-121.78333300000001,WA,622,2018
33.7,Natural Gas,27.579444,-81.492778,FL,624,2018
33.7,Other,27.579444,-81.492778,FL,624,2018
8.2,Hydroelectric,42.9126,-73.6805,NY,625,2018
1.4,Hydroelectric,40.075309999999995,-121.16143000000001,CA,626,2018
56.7,Other,27.758056,-82.635278,FL,627,2018
310.3,Natural Gas,28.9656,-82.6977,FL,628,2018
739.2,Coal,28.9656,-82.6977,FL,628,2018
33.7,Natural Gas,28.003262,-82.661507,FL,630,2018
12.7,Hydroelectric,38.835182,-121.092982,CA,632,2018
208.2,Natural Gas,27.859534999999997,-82.601759,FL,634,2018
55.4,Other,27.859534999999997,-82.601759,FL,634,2018
65.9,Natural Gas,30.376389,-83.18055600000001,FL,638,2018
65.9,Other,30.376389,-83.18055600000001,FL,638,2018
93.7,Coal,30.5661,-87.2244,FL,641,2018
203.2,Natural Gas,30.2686,-85.7003,FL,643,2018
41.8,Other,30.2686,-85.7003,FL,643,2018
19.0,Solar,27.7944,-82.4036,FL,645,2018
62.0,Natural Gas,27.7944,-82.4036,FL,645,2018
445.5,Coal,27.7944,-82.4036,FL,645,2018
1160.0,Nuclear,33.1427,-81.7625,GA,649,2018
75.0,Natural Gas,29.7592,-82.3878,FL,663,2018
250.7,Coal,29.7592,-82.3878,FL,663,2018
50.0,Natural Gas,29.6461,-82.3208,FL,664,2018
2.0,Natural Gas,25.4756,-80.47,FL,665,2018
0.1,Other,25.4756,-80.47,FL,665,2018
185.0,Natural Gas,30.364818,-81.625967,FL,666,2018
297.5,Coal,30.4172,-81.5525,FL,667,2018
62.1,Other,30.4172,-81.5525,FL,667,2018
563.7,Natural Gas,30.4172,-81.5525,FL,667,2018
30.8,Other,26.612766999999998,-80.0677,FL,673,2018
21.4,Natural Gas,26.612766999999998,-80.0677,FL,673,2018
0.8,Hydroelectric,43.219017,-108.787681,WY,674,2018
11.2,Natural Gas,28.0797,-81.9228,FL,675,2018
363.8,Coal,28.0801,-81.9229,FL,676,2018
249.0,Natural Gas,28.0801,-81.9229,FL,676,2018
2.5,Other,28.0801,-81.9229,FL,676,2018
0.9,Hydroelectric,44.625282,-72.53085899999999,VT,678,2018
