Plant_ID,Nameplate,Technology,Latitude,Longitude,State,Year
4271,387.0,Coal,44.303583,-91.91264699999999,WI,2001
4941,803.1,Coal,36.9047,-111.3886,AZ,2001
6002,705.5,Coal,33.6319,-87.0597,AL,2001
6004,684.0,Coal,39.366667,-81.294444,WV,2001
6009,850.0,Coal,34.4228,-92.1406,AR,2001
6016,441.0,Coal,40.4663,-89.9841,IL,2001
6017,617.4,Coal,38.9361,-88.2781,IL,2001
6018,669.3,Coal,38.9036,-84.8514,KY,2001
6019,1425.6,Coal,38.8675,-84.2289,OH,2001
6021,446.4,Coal,40.4627,-107.5912,CO,2001
6030,605.0,Coal,47.377743,-101.15705799999999,ND,2001
6031,666.4,Coal,38.6903,-83.4803,OH,2001
6034,697.5,Coal,42.7756,-82.495,MI,2001
6041,305.2,Coal,38.7,-83.8181,KY,2001
6052,952.0,Coal,33.41342,-85.032329,GA,2001
6055,638.0,Coal,30.7261,-91.3692,LA,2001
6061,200.0,Coal,31.2186,-89.39399999999999,MS,2001
6064,261.0,Coal,39.1681,-94.6975,KS,2001
6065,726.0,Coal,39.4472,-94.98,MO,2001
6068,720.0,Coal,39.286453,-96.117231,KS,2001
6071,566.1,Coal,38.5847,-85.4117,KY,2001
6073,500.0,Coal,30.5322,-88.5553,MS,2001
6076,358.0,Coal,45.8831,-106.61399999999999,MT,2001
6077,681.3,Coal,41.0808,-101.1408,NE,2001
6082,727.8,Coal,43.358889000000005,-78.604722,NY,2001
6085,540.0,Coal,41.2164,-87.0261,IN,2001
6089,50.0,Coal,47.6785,-104.15665,MT,2001
6090,660.0,Coal,45.3808,-93.8931,MN,2001
6094,913.7,Coal,40.6348,-80.4159,PA,2001
6095,569.0,Coal,36.453070000000004,-97.05279,OK,2001
6096,651.6,Coal,40.6214,-95.7764,NE,2001
6098,456.0,Coal,45.303652,-96.510067,SD,2001
6101,362.0,Coal,44.290128,-105.381482,WY,2001
6106,601.0,Coal,45.693182,-119.808819,OR,2001
6113,667.9,Coal,38.372222,-87.765833,IN,2001
6124,177.6,Coal,32.356287,-81.168347,GA,2001
6136,453.5,Coal,30.619937,-96.081846,TX,2001
6137,265.2,Coal,37.9053,-87.715,IN,2001
6138,558.0,Coal,36.2561,-94.5241,AR,2001
6139,558.0,Coal,33.05522,-94.839993,TX,2001
6146,793.2,Coal,32.2606,-94.5706,TX,2001
6147,593.4,Coal,33.0917,-95.0417,TX,2001
6155,621.0,Coal,38.131248,-90.26315699999999,MO,2001
6165,488.3,Coal,39.1747,-111.0289,UT,2001
6166,1300.0,Coal,37.9256,-87.0372,IN,2001
6170,616.5,Coal,42.5381,-87.9033,WI,2001
6177,410.9,Coal,34.5789,-109.2708,AZ,2001
6178,600.4,Coal,28.7128,-97.214167,TX,2001
6179,615.0,Coal,29.9172,-96.7506,TX,2001
6181,446.0,Coal,29.308056,-98.3228,TX,2001
6183,410.0,Coal,28.7044,-98.4775,TX,2001
6190,558.0,Coal,31.395,-92.716667,LA,2001
6193,360.0,Coal,35.298159999999996,-101.747187,TX,2001
6194,568.0,Coal,34.186494,-102.56999,TX,2001
6195,194.0,Coal,37.151706,-93.38804,MO,2001
6204,570.0,Coal,42.108889000000005,-104.8825,WY,2001
6213,540.0,Coal,39.0694,-87.5108,IN,2001
6225,14.5,Coal,38.4004,-86.9146,IN,2001
6238,22.0,Coal,39.449185,-90.61411899999999,IL,2001
6248,500.0,Coal,40.2217,-103.6803,CO,2001
6249,315.0,Coal,33.3317,-79.3581,SC,2001
6250,735.8,Coal,36.5278,-78.8917,NC,2001
6254,726.0,Coal,41.0961,-92.55583299999999,IA,2001
6257,891.0,Coal,33.0606,-83.8075,GA,2001
6264,1300.0,Coal,38.9794,-81.9344,WV,2001
6288,25.0,Coal,63.8542,-148.95,AK,2001
6469,434.9,Coal,47.2819,-101.3194,ND,2001
6481,820.0,Coal,39.509731,-112.58018,UT,2001
6639,293.0,Coal,37.6461,-87.5,KY,2001
6641,850.0,Coal,35.678442,-91.408761,AR,2001
6648,590.6,Coal,30.565871,-97.064032,TX,2001
6664,738.0,Coal,41.3181,-91.0931,IA,2001
6705,323.0,Coal,37.915,-87.3328,IN,2001
6761,293.6,Coal,40.860904999999995,-105.021207,CO,2001
6768,261.0,Coal,36.8791,-89.6209,MO,2001
6772,400.0,Coal,34.0158,-95.3206,OK,2001
6823,440.0,Coal,37.4497,-87.0806,KY,2001
