Nameplate,Technology,Latitude,Longitude,State,Plant_ID
233,Natural Gas,36.804837,-121.782241,CA,260
233,Natural Gas,36.804837,-121.782241,CA,260
233,Natural Gas,36.804837,-121.782241,CA,260
233,Natural Gas,36.804837,-121.782241,CA,260
3.6,Hydroelectric,38.147093,-120.446396,CA,261
10.2,Hydroelectric,39.2364,-121.271741,CA,262
1.6,Hydroelectric,38.032103,-120.326537,CA,264
34.6,Hydroelectric,40.99084,-121.498243,CA,265
34.6,Hydroelectric,40.99084,-121.498243,CA,265
26.7,Hydroelectric,40.997448,-121.748139,CA,266
26.7,Hydroelectric,40.997448,-121.748139,CA,266
26.7,Hydroelectric,40.997448,-121.748139,CA,266
51.7,Hydroelectric,40.986361,-121.84944,CA,267
51.7,Hydroelectric,40.986361,-121.84944,CA,267
38.2,Hydroelectric,40.986197,-121.977594,CA,268
38.2,Hydroelectric,40.986197,-121.977594,CA,268
33.2,Hydroelectric,40.986197,-121.977594,CA,268
32,Hydroelectric,40.986197,-121.977594,CA,268
39.6,Hydroelectric,40.922568,-121.992906,CA,269
39.6,Hydroelectric,40.922568,-121.992906,CA,269
57.6,Hydroelectric,40.847462,-121.990798,CA,270
52.2,Hydroelectric,40.847462,-121.990798,CA,270
71.4,Hydroelectric,39.722892,-121.469814,CA,272
71.4,Hydroelectric,39.722892,-121.469814,CA,272
4.4,Hydroelectric,39.361786,-123.127934,CA,274
2,Hydroelectric,39.361786,-123.127934,CA,274
3,Hydroelectric,39.361786,-123.127934,CA,274
63,Hydroelectric,39.90521,-121.345226,CA,275
63,Hydroelectric,39.90521,-121.345226,CA,275
2.8,Hydroelectric,37.203233,-119.497508,CA,276
4,Hydroelectric,37.253718,-119.519352,CA,277
12.3,Hydroelectric,38.497914,-120.21811,CA,279
29.7,Hydroelectric,38.497914,-120.21811,CA,279
6.7,Hydroelectric,40.395396,-121.879186,CA,280
7,Hydroelectric,39.324613,-120.644807,CA,281
3.7,Hydroelectric,39.324592,-120.645375,CA,282
6.6,Hydroelectric,39.337679,-120.635467,CA,283
6,Hydroelectric,38.18653,-120.11168,CA,284
81.9,Hydroelectric,38.139048,-120.370325,CA,285
110,Other,38.777,-122.745,CA,286
110,Other,38.777,-122.745,CA,286
138,Other,38.777,-122.745,CA,286
113,Other,38.777,-122.745,CA,286
118,Other,38.777,-122.745,CA,286
118,Other,38.777,-122.745,CA,286
118,Other,38.777,-122.745,CA,286
118,Other,38.777,-122.745,CA,286
55,Other,38.777,-122.745,CA,286
55,Other,38.777,-122.745,CA,286
55,Other,38.777,-122.745,CA,286
55,Other,38.777,-122.745,CA,286
25.5,Hydroelectric,38.449291,-120.492645,CA,287
