Nameplate,Technology,Latitude,Longitude,PLNTCODE,State
25,Hydroelectric,40.085476,-121.148241,222,CA
25,Hydroelectric,40.085476,-121.148241,222,CA
60.3,Hydroelectric,40.085997,-121.149373,223,CA
57.6,Hydroelectric,40.085997,-121.149373,223,CA
5.5,Hydroelectric,39.788877,-121.657383,224,CA
0.9,Hydroelectric,39.788877,-121.657383,224,CA
7,Hydroelectric,38.771764,-120.813239,225,CA
1,Hydroelectric,39.605043,-121.600525,226,CA
12.1,Hydroelectric,40.404645,-122.121904,227,CA
345,Natural Gas,38.0192,-121.7642,228,CA
345,Natural Gas,38.0192,-121.7642,228,CA
0.7,Hydroelectric,40.570817,-122.02093,229,CA
0.7,Hydroelectric,40.570817,-122.02093,229,CA
36.9,Hydroelectric,39.825907,-121.409687,231,CA
36.9,Hydroelectric,39.825907,-121.409687,231,CA
18.4,Hydroelectric,39.869265,-121.631819,232,CA
5.5,Hydroelectric,39.29807,-120.8443,233,CA
12,Hydroelectric,39.256873,-120.767437,235,CA
12,Hydroelectric,39.256873,-120.767437,235,CA
12,Hydroelectric,39.256873,-120.767437,235,CA
13.2,Hydroelectric,39.256873,-120.767437,235,CA
53.1,Hydroelectric,39.257388,-120.767046,236,CA
22,Hydroelectric,39.216985,-120.835587,237,CA
10,Hydroelectric,38.793574,-120.619152,238,CA
10,Hydroelectric,38.793574,-120.619152,238,CA
32.3,Hydroelectric,38.330985,-120.669901,239,CA
35.1,Hydroelectric,38.330985,-120.669901,239,CA
35.1,Hydroelectric,38.330985,-120.669901,239,CA
67.5,Hydroelectric,36.927424,-119.02025,240,CA
67.5,Hydroelectric,36.927424,-119.02025,240,CA
13.6,Hydroelectric,38.956985,-121.041932,241,CA
2.6,Hydroelectric,40.268712,-121.089479,242,CA
2.7,Hydroelectric,40.268712,-121.089479,242,CA
10,Hydroelectric,40.929297,-121.544462,243,CA
10,Hydroelectric,40.960675,-121.548657,244,CA
51.2,Natural Gas,40.7415,-124.2103,246,CA
51.2,Natural Gas,40.7415,-124.2103,246,CA
107.5,Natural Gas,37.7361219,-122.3763657,247,CA
107.5,Natural Gas,37.7361219,-122.3763657,247,CA
156.2,Natural Gas,37.7361219,-122.3763657,247,CA
56.2,Other,37.7361219,-122.3763657,247,CA
7.6,Hydroelectric,40.400988,-121.965502,248,CA
85.1,Hydroelectric,40.992295,-121.975182,249,CA
83.5,Hydroelectric,40.992295,-121.975182,249,CA
11.3,Hydroelectric,37.092486,-119.552826,250,CA
11.3,Hydroelectric,37.092486,-119.552826,250,CA
11.3,Hydroelectric,37.092486,-119.552826,250,CA
1.5,Hydroelectric,40.677827,-121.873253,253,CA
1.5,Hydroelectric,40.677827,-121.873253,253,CA
48.6,Hydroelectric,36.888166,-119.158777,254,CA
1,Hydroelectric,39.698755,-121.57096,255,CA
1,Hydroelectric,39.698755,-121.57096,255,CA
3.4,Hydroelectric,37.52301,-120.329905,258,CA
169.1,Natural Gas,35.372167,-120.856562,259,CA
169.1,Natural Gas,35.372167,-120.856562,259,CA
359,Natural Gas,35.372167,-120.856562,259,CA
359,Natural Gas,35.372167,-120.856562,259,CA
702,Natural Gas,36.804837,-121.782241,260,CA
702,Natural Gas,36.804837,-121.782241,260,CA
233,Natural Gas,36.804837,-121.782241,260,CA
233,Natural Gas,36.804837,-121.782241,260,CA
233,Natural Gas,36.804837,-121.782241,260,CA
233,Natural Gas,36.804837,-121.782241,260,CA
233,Natural Gas,36.804837,-121.782241,260,CA
233,Natural Gas,36.804837,-121.782241,260,CA
4.5,Hydroelectric,38.147093,-120.446396,261,CA
10.2,Hydroelectric,39.2364,-121.271741,262,CA
1.6,Hydroelectric,38.032103,-120.326537,264,CA
34.6,Hydroelectric,40.99084,-121.498243,265,CA
34.6,Hydroelectric,40.99084,-121.498243,265,CA
26.7,Hydroelectric,40.997448,-121.748139,266,CA
